Data:  2015/11/24
Czas:  2:37:4


liczba pomiarow=1167
czas probkowania=1.00
 cisn  , sila  , sila  , przem , przem , przem , przem , przem ,
23.857,3.190,3.178,-0.017,0.006,0.004,0.000,0.004,
23.946,3.261,3.349,-0.017,0.006,0.004,0.000,0.004,
24.033,3.261,3.366,-0.017,0.006,0.005,0.000,0.003,
24.128,3.262,3.455,-0.018,0.006,0.005,0.000,0.004,
25.059,3.347,3.325,-0.019,0.006,0.005,0.000,0.004,
26.571,3.556,3.949,-0.020,0.006,0.006,0.004,0.004,
27.798,3.699,3.651,-0.020,0.008,0.006,0.010,0.004,
28.343,3.758,3.723,-0.021,0.008,0.006,0.010,0.005,
29.372,3.903,4.087,-0.021,0.008,0.007,0.010,0.005,
30.377,4.043,3.752,-0.022,0.008,0.007,0.010,0.005,
31.779,4.226,4.352,-0.023,0.008,0.008,0.010,0.006,
32.023,4.277,4.438,-0.024,0.009,0.008,0.010,0.007,
32.070,4.305,4.312,-0.024,0.009,0.009,0.010,0.006,
32.945,4.389,4.514,-0.025,0.009,0.009,0.010,0.007,
34.744,4.523,4.714,-0.027,0.010,0.010,0.011,0.007,
35.301,4.643,4.669,-0.028,0.012,0.011,0.015,0.008,
35.634,4.696,4.695,-0.028,0.012,0.011,0.015,0.009,
36.577,4.811,5.031,-0.030,0.012,0.012,0.015,0.009,
37.590,4.952,4.993,-0.031,0.012,0.013,0.015,0.009,
38.857,5.108,5.202,-0.032,0.014,0.014,0.017,0.011,
39.642,5.228,5.364,-0.034,0.015,0.016,0.019,0.012,
39.599,5.254,5.148,-0.035,0.015,0.016,0.019,0.012,
40.742,5.337,5.363,-0.035,0.016,0.017,0.019,0.013,
41.640,5.500,5.443,-0.037,0.017,0.018,0.020,0.014,
42.815,5.619,5.761,-0.040,0.018,0.019,0.023,0.015,
42.474,5.592,5.701,-0.040,0.018,0.020,0.024,0.016,
43.595,5.693,5.701,-0.041,0.019,0.021,0.023,0.016,
44.851,5.869,6.067,-0.042,0.019,0.022,0.024,0.017,
46.550,6.053,6.167,-0.044,0.021,0.024,0.028,0.018,
46.862,6.184,6.501,-0.046,0.022,0.025,0.028,0.018,
46.390,6.121,6.285,-0.047,0.022,0.026,0.028,0.019,
46.931,6.141,6.374,-0.048,0.022,0.026,0.029,0.020,
48.614,6.349,6.487,-0.050,0.025,0.028,0.033,0.022,
49.860,6.534,6.576,-0.055,0.028,0.032,0.035,0.026,
49.412,6.483,6.560,-0.058,0.031,0.035,0.038,0.029,
50.037,6.507,6.442,-0.060,0.033,0.037,0.040,0.031,
51.030,6.659,6.606,-0.065,0.036,0.040,0.044,0.034,
52.181,6.787,6.864,-0.070,0.040,0.045,0.048,0.039,
52.670,6.839,7.240,-0.077,0.047,0.052,0.057,0.046,
51.008,6.615,6.715,-0.092,0.061,0.068,0.074,0.061,
42.370,5.439,5.693,-0.179,0.159,0.174,0.181,0.167,
26.318,3.614,3.953,-0.330,0.335,0.362,0.363,0.353,
17.589,2.819,3.118,-0.334,0.343,0.371,0.371,0.359,
13.089,2.288,2.504,-0.327,0.342,0.367,0.370,0.351,
12.507,2.169,2.191,-0.324,0.341,0.364,0.369,0.347,
13.487,2.187,2.132,-0.324,0.341,0.364,0.369,0.346,
15.422,2.244,2.338,-0.324,0.341,0.364,0.369,0.346,
17.009,2.414,2.598,-0.324,0.342,0.364,0.369,0.346,
19.034,2.665,2.912,-0.325,0.342,0.364,0.370,0.346,
20.027,2.759,3.109,-0.325,0.342,0.364,0.370,0.348,
21.038,2.886,3.160,-0.327,0.342,0.364,0.370,0.349,
22.075,3.034,3.141,-0.329,0.343,0.365,0.370,0.353,
23.525,3.172,3.424,-0.333,0.343,0.369,0.371,0.358,
23.597,3.204,3.425,-0.336,0.345,0.372,0.371,0.361,
24.682,3.258,3.463,-0.341,0.351,0.377,0.379,0.366,
24.957,3.384,3.368,-0.351,0.361,0.388,0.389,0.377,
25.440,3.395,3.438,-0.365,0.375,0.403,0.405,0.392,
24.589,3.329,3.530,-0.374,0.384,0.413,0.414,0.402,
24.604,3.348,3.248,-0.378,0.389,0.419,0.419,0.407,
24.652,3.336,3.409,-0.384,0.397,0.426,0.427,0.414,
24.860,3.347,3.461,-0.395,0.409,0.439,0.439,0.428,
23.985,3.276,3.183,-0.404,0.418,0.449,0.448,0.439,
24.015,3.259,3.301,-0.408,0.423,0.455,0.452,0.443,
24.368,3.230,3.402,-0.415,0.431,0.463,0.461,0.450,
24.332,3.270,3.166,-0.425,0.442,0.477,0.473,0.462,
23.578,3.244,3.192,-0.435,0.452,0.487,0.482,0.474,
23.593,3.224,3.290,-0.440,0.458,0.493,0.488,0.480,
23.801,3.189,3.446,-0.448,0.468,0.503,0.498,0.489,
24.056,3.235,3.355,-0.460,0.480,0.516,0.511,0.503,
23.528,3.197,3.160,-0.475,0.495,0.532,0.525,0.517,
22.657,3.101,2.885,-0.481,0.502,0.539,0.529,0.525,
22.179,3.100,3.251,-0.484,0.504,0.542,0.530,0.528,
22.775,3.079,3.148,-0.486,0.507,0.545,0.537,0.530,
23.472,3.182,3.324,-0.499,0.521,0.560,0.550,0.545,
23.054,3.135,2.937,-0.516,0.538,0.579,0.567,0.564,
22.859,3.106,3.090,-0.524,0.547,0.588,0.576,0.572,
22.562,3.071,3.202,-0.530,0.554,0.595,0.582,0.579,
22.496,3.037,3.100,-0.536,0.562,0.603,0.590,0.588,
22.582,3.045,3.143,-0.549,0.577,0.621,0.607,0.605,
21.854,3.022,3.133,-0.560,0.589,0.633,0.620,0.616,
21.414,2.967,2.905,-0.562,0.591,0.635,0.621,0.619,
21.489,2.981,3.155,-0.565,0.594,0.638,0.623,0.621,
22.217,2.990,3.323,-0.577,0.607,0.653,0.639,0.635,
21.919,3.000,2.935,-0.592,0.626,0.673,0.659,0.654,
21.314,2.937,2.890,-0.598,0.633,0.681,0.664,0.661,
21.346,2.917,2.902,-0.603,0.640,0.689,0.671,0.668,
21.482,2.923,3.061,-0.610,0.648,0.697,0.679,0.676,
21.694,2.947,3.052,-0.623,0.662,0.712,0.694,0.691,
20.907,2.888,2.790,-0.635,0.674,0.726,0.705,0.704,
19.946,2.836,2.780,-0.637,0.676,0.728,0.706,0.707,
20.026,2.810,2.879,-0.639,0.678,0.730,0.706,0.708,
20.700,2.859,2.877,-0.644,0.686,0.738,0.717,0.716,
21.396,2.865,2.826,-0.661,0.705,0.758,0.736,0.734,
20.694,2.825,3.012,-0.672,0.718,0.771,0.749,0.748,
20.563,2.827,2.668,-0.679,0.726,0.779,0.757,0.756,
20.457,2.816,2.813,-0.684,0.731,0.784,0.762,0.761,
20.723,2.832,3.032,-0.692,0.741,0.795,0.773,0.772,
20.685,2.840,2.744,-0.707,0.759,0.814,0.789,0.790,
20.130,2.748,2.869,-0.714,0.767,0.822,0.797,0.798,
19.878,2.752,2.796,-0.716,0.769,0.825,0.798,0.801,
19.959,2.780,2.992,-0.721,0.776,0.833,0.806,0.809,
20.225,2.789,2.848,-0.733,0.790,0.848,0.820,0.822,
19.769,2.743,2.748,-0.743,0.800,0.858,0.829,0.832,
19.923,2.742,2.596,-0.748,0.807,0.865,0.837,0.839,
19.998,2.725,2.605,-0.756,0.816,0.875,0.845,0.848,
20.278,2.721,2.753,-0.765,0.828,0.888,0.858,0.860,
20.042,2.728,2.677,-0.780,0.844,0.906,0.874,0.877,
19.108,2.658,2.702,-0.786,0.851,0.913,0.879,0.884,
18.891,2.683,2.751,-0.787,0.853,0.916,0.879,0.886,
19.315,2.635,2.778,-0.791,0.858,0.921,0.887,0.891,
19.656,2.709,2.650,-0.803,0.871,0.935,0.901,0.905,
19.363,2.631,2.519,-0.813,0.883,0.948,0.912,0.918,
18.939,2.647,2.287,-0.818,0.889,0.954,0.918,0.924,
19.261,2.671,2.720,-0.825,0.897,0.963,0.927,0.932,
19.140,2.688,2.662,-0.835,0.908,0.974,0.938,0.943,
19.416,2.699,2.743,-0.848,0.924,0.991,0.953,0.958,
18.972,2.643,2.798,-0.857,0.934,1.001,0.965,0.968,
18.453,2.627,2.736,-0.858,0.935,1.003,0.966,0.969,
18.591,2.593,2.572,-0.861,0.938,1.006,0.968,0.973,
19.433,2.620,2.592,-0.871,0.951,1.019,0.982,0.986,
19.033,2.600,2.615,-0.885,0.967,1.037,0.998,1.003,
18.897,2.585,2.672,-0.891,0.973,1.045,1.005,1.009,
18.674,2.598,2.645,-0.898,0.982,1.054,1.014,1.019,
18.674,2.620,2.417,-0.906,0.993,1.064,1.023,1.029,
18.918,2.641,2.494,-0.917,1.006,1.078,1.037,1.042,
18.621,2.576,2.762,-0.927,1.017,1.089,1.047,1.053,
17.918,2.559,2.461,-0.929,1.019,1.092,1.048,1.055,
18.272,2.544,2.554,-0.930,1.021,1.094,1.049,1.057,
18.576,2.569,2.610,-0.940,1.033,1.106,1.063,1.068,
18.883,2.557,2.582,-0.955,1.049,1.124,1.079,1.086,
18.393,2.600,2.800,-0.962,1.058,1.133,1.086,1.094,
18.405,2.501,2.736,-0.968,1.066,1.141,1.095,1.102,
18.328,2.591,2.603,-0.978,1.077,1.154,1.107,1.114,
18.648,2.525,2.699,-0.991,1.093,1.170,1.122,1.130,
17.746,2.505,2.302,-0.999,1.103,1.180,1.132,1.139,
17.033,2.518,2.542,-1.000,1.104,1.181,1.132,1.140,
17.248,2.491,2.434,-1.002,1.105,1.183,1.132,1.142,
17.946,2.491,2.462,-1.005,1.110,1.189,1.138,1.147,
18.358,2.502,2.575,-1.021,1.128,1.207,1.157,1.165,
18.219,2.531,2.583,-1.034,1.145,1.224,1.173,1.182,
17.746,2.464,2.481,-1.043,1.155,1.235,1.182,1.193,
17.444,2.448,2.390,-1.047,1.161,1.241,1.188,1.199,
17.578,2.449,2.380,-1.059,1.174,1.255,1.203,1.212,
17.509,2.438,2.552,-1.072,1.190,1.272,1.218,1.227,
16.540,2.408,2.418,-1.074,1.193,1.275,1.221,1.229,
16.297,2.380,2.298,-1.075,1.193,1.276,1.221,1.231,
17.032,2.381,2.314,-1.078,1.197,1.280,1.223,1.235,
17.522,2.430,2.508,-1.092,1.214,1.297,1.242,1.252,
17.153,2.401,2.355,-1.108,1.233,1.316,1.259,1.271,
16.878,2.390,2.265,-1.114,1.241,1.325,1.268,1.279,
16.889,2.390,2.413,-1.116,1.246,1.328,1.276,1.283,
16.876,2.351,2.487,-1.121,1.250,1.334,1.281,1.288,
17.359,2.372,2.274,-1.135,1.268,1.352,1.299,1.305,
17.020,2.391,2.416,-1.148,1.283,1.368,1.314,1.322,
16.673,2.366,2.419,-1.151,1.286,1.371,1.315,1.324,
16.760,2.326,2.551,-1.155,1.291,1.376,1.320,1.329,
17.230,2.374,2.455,-1.166,1.305,1.389,1.334,1.343,
16.723,2.354,2.292,-1.175,1.314,1.400,1.343,1.352,
16.587,2.322,2.209,-1.176,1.316,1.401,1.343,1.354,
16.413,2.334,2.357,-1.180,1.321,1.407,1.348,1.360,
16.946,2.344,2.427,-1.192,1.336,1.422,1.365,1.375,
16.898,2.366,2.248,-1.210,1.356,1.443,1.383,1.395,
16.410,2.291,2.334,-1.216,1.363,1.450,1.389,1.403,
15.526,2.318,2.238,-1.216,1.363,1.450,1.389,1.404,
15.567,2.311,2.525,-1.216,1.364,1.452,1.389,1.405,
16.401,2.320,2.528,-1.221,1.370,1.458,1.396,1.411,
17.083,2.341,2.296,-1.240,1.393,1.482,1.419,1.433,
16.626,2.287,2.303,-1.253,1.409,1.499,1.434,1.449,
16.232,2.306,2.148,-1.258,1.414,1.505,1.439,1.455,
16.108,2.356,2.331,-1.259,1.415,1.506,1.439,1.456,
16.584,2.287,2.414,-1.267,1.425,1.516,1.450,1.466,
16.600,2.285,2.315,-1.282,1.444,1.536,1.469,1.485,
16.351,2.293,2.200,-1.290,1.452,1.545,1.478,1.494,
16.318,2.276,1.943,-1.295,1.458,1.551,1.484,1.501,
16.538,2.314,2.264,-1.303,1.467,1.562,1.493,1.510,
16.401,2.292,2.429,-1.312,1.479,1.574,1.503,1.521,
15.840,2.289,2.176,-1.316,1.482,1.577,1.505,1.525,
15.850,2.266,2.107,-1.317,1.484,1.579,1.506,1.527,
16.308,2.246,2.424,-1.327,1.496,1.592,1.521,1.539,
16.463,2.269,2.406,-1.344,1.516,1.612,1.539,1.559,
16.210,2.273,2.298,-1.358,1.531,1.629,1.554,1.575,
15.250,2.280,2.414,-1.359,1.533,1.630,1.555,1.576,
15.094,2.259,2.343,-1.359,1.533,1.631,1.555,1.576,
15.844,2.239,2.429,-1.364,1.538,1.636,1.560,1.580,
16.549,2.231,2.428,-1.378,1.556,1.654,1.578,1.598,
16.117,2.264,2.234,-1.390,1.571,1.670,1.593,1.612,
16.045,2.256,2.207,-1.396,1.578,1.678,1.600,1.620,
