Data:  2015/11/24
Czas:  2:19:42


liczba pomiarow=1166
czas probkowania=1.00
 cisn  , sila  , sila  , przem , przem , przem , przem , przem ,
38.367,5.837,5.568,-0.051,0.005,0.021,0.021,0.022,
39.787,5.930,6.189,-0.053,0.005,0.022,0.022,0.023,
41.289,6.140,6.291,-0.054,0.006,0.024,0.023,0.024,
41.398,6.200,6.172,-0.057,0.006,0.025,0.025,0.025,
41.253,6.144,6.086,-0.057,0.007,0.025,0.025,0.026,
42.388,6.305,6.611,-0.058,0.008,0.026,0.026,0.026,
44.084,6.496,7.078,-0.061,0.011,0.029,0.029,0.029,
44.873,6.614,6.746,-0.069,0.017,0.035,0.036,0.035,
44.648,6.631,7.058,-0.075,0.023,0.041,0.043,0.039,
43.565,6.580,6.382,-0.078,0.025,0.044,0.045,0.042,
44.656,6.557,6.725,-0.080,0.028,0.046,0.048,0.046,
45.919,6.689,6.773,-0.085,0.033,0.051,0.054,0.051,
45.786,6.725,6.866,-0.093,0.041,0.059,0.062,0.057,
45.024,6.646,6.670,-0.099,0.047,0.065,0.068,0.063,
45.302,6.671,6.841,-0.109,0.057,0.075,0.079,0.074,
39.830,5.896,5.814,-0.181,0.141,0.155,0.163,0.157,
29.583,4.742,4.575,-0.272,0.253,0.265,0.275,0.265,
23.031,4.213,4.328,-0.277,0.261,0.272,0.283,0.272,
20.219,3.801,3.687,-0.276,0.260,0.272,0.282,0.272,
20.219,3.723,3.447,-0.275,0.260,0.272,0.282,0.272,
21.717,3.798,3.734,-0.275,0.260,0.272,0.282,0.271,
23.139,3.977,4.300,-0.274,0.260,0.272,0.282,0.273,
25.106,4.203,4.633,-0.275,0.261,0.272,0.282,0.273,
25.636,4.242,4.296,-0.275,0.261,0.272,0.283,0.273,
26.976,4.352,4.331,-0.278,0.262,0.274,0.284,0.274,
28.094,4.435,4.200,-0.286,0.271,0.283,0.293,0.283,
28.975,4.522,4.614,-0.296,0.285,0.297,0.307,0.298,
28.157,4.504,4.552,-0.302,0.294,0.306,0.317,0.305,
27.866,4.465,4.256,-0.310,0.302,0.314,0.325,0.314,
27.871,4.461,4.481,-0.316,0.311,0.323,0.333,0.321,
27.638,4.502,4.679,-0.325,0.323,0.335,0.344,0.334,
27.176,4.335,4.603,-0.330,0.329,0.341,0.350,0.341,
27.155,4.427,4.158,-0.334,0.334,0.346,0.356,0.347,
27.453,4.384,4.443,-0.347,0.349,0.361,0.370,0.360,
27.333,4.411,4.231,-0.360,0.368,0.380,0.388,0.379,
26.013,4.244,3.945,-0.372,0.382,0.394,0.402,0.392,
25.130,4.198,4.190,-0.375,0.386,0.398,0.405,0.395,
24.743,4.168,4.028,-0.376,0.388,0.400,0.407,0.400,
25.711,4.197,4.235,-0.381,0.393,0.405,0.412,0.403,
26.488,4.269,4.004,-0.393,0.409,0.421,0.428,0.419,
25.968,4.204,3.992,-0.408,0.427,0.439,0.445,0.438,
24.905,4.184,4.106,-0.418,0.439,0.452,0.456,0.449,
25.007,4.126,3.980,-0.425,0.446,0.460,0.463,0.457,
25.074,4.097,4.140,-0.431,0.457,0.470,0.473,0.468,
25.007,4.095,4.087,-0.444,0.471,0.485,0.487,0.483,
23.760,4.052,4.355,-0.453,0.480,0.494,0.495,0.490,
24.033,3.961,3.848,-0.457,0.484,0.498,0.500,0.494,
24.060,4.022,3.763,-0.464,0.492,0.505,0.508,0.501,
24.454,4.020,4.151,-0.476,0.508,0.521,0.524,0.519,
23.425,3.950,3.926,-0.488,0.521,0.534,0.535,0.531,
23.627,3.879,4.282,-0.492,0.527,0.540,0.540,0.537,
23.561,3.930,3.899,-0.499,0.536,0.549,0.550,0.545,
23.878,3.933,3.833,-0.510,0.550,0.564,0.564,0.561,
23.203,3.933,3.807,-0.525,0.568,0.581,0.580,0.577,
21.921,3.843,4.171,-0.531,0.573,0.586,0.585,0.581,
21.618,3.793,3.837,-0.533,0.575,0.588,0.587,0.584,
22.161,3.808,3.884,-0.538,0.578,0.591,0.590,0.588,
23.155,3.889,3.994,-0.549,0.592,0.605,0.603,0.602,
22.811,3.859,3.884,-0.566,0.613,0.627,0.623,0.622,
22.200,3.767,3.833,-0.576,0.625,0.639,0.635,0.634,
21.565,3.718,3.844,-0.583,0.633,0.647,0.644,0.641,
21.503,3.707,3.923,-0.589,0.642,0.657,0.653,0.651,
21.711,3.702,3.604,-0.606,0.660,0.675,0.671,0.668,
20.561,3.588,3.204,-0.618,0.671,0.686,0.681,0.679,
19.906,3.583,3.818,-0.620,0.674,0.689,0.683,0.682,
20.244,3.545,3.297,-0.622,0.676,0.691,0.686,0.684,
21.163,3.582,3.523,-0.629,0.686,0.701,0.695,0.694,
20.996,3.588,3.518,-0.647,0.707,0.723,0.716,0.713,
20.613,3.574,3.614,-0.657,0.718,0.733,0.726,0.723,
20.465,3.526,3.507,-0.662,0.726,0.741,0.734,0.730,
20.160,3.506,3.713,-0.669,0.732,0.747,0.739,0.737,
20.418,3.554,3.228,-0.683,0.746,0.762,0.752,0.751,
20.193,3.514,3.464,-0.698,0.763,0.779,0.769,0.767,
19.439,3.458,3.443,-0.703,0.768,0.784,0.774,0.773,
19.422,3.422,3.364,-0.704,0.770,0.787,0.776,0.776,
19.829,3.478,3.564,-0.710,0.779,0.796,0.785,0.784,
20.009,3.514,3.607,-0.725,0.795,0.812,0.800,0.799,
19.635,3.461,3.136,-0.732,0.804,0.821,0.809,0.808,
19.556,3.435,3.450,-0.736,0.810,0.828,0.815,0.814,
19.626,3.449,3.459,-0.745,0.820,0.837,0.824,0.824,
19.823,3.430,3.153,-0.758,0.833,0.850,0.836,0.835,
19.704,3.450,3.404,-0.770,0.847,0.864,0.852,0.849,
18.972,3.392,3.130,-0.774,0.851,0.868,0.856,0.853,
18.782,3.309,3.197,-0.774,0.854,0.870,0.858,0.856,
19.083,3.374,3.378,-0.779,0.858,0.875,0.863,0.861,
19.784,3.449,3.077,-0.793,0.876,0.893,0.881,0.877,
19.345,3.396,3.607,-0.804,0.890,0.908,0.894,0.891,
19.150,3.366,2.902,-0.812,0.899,0.916,0.902,0.899,
18.595,3.365,3.553,-0.814,0.903,0.920,0.905,0.904,
19.131,3.345,3.320,-0.819,0.910,0.927,0.912,0.910,
19.200,3.383,3.455,-0.834,0.928,0.946,0.930,0.930,
18.603,3.326,3.126,-0.846,0.943,0.960,0.944,0.944,
18.506,3.320,3.486,-0.850,0.948,0.965,0.949,0.948,
18.737,3.323,3.387,-0.857,0.955,0.973,0.956,0.956,
18.701,3.322,3.366,-0.866,0.965,0.983,0.965,0.964,
18.337,3.295,3.396,-0.874,0.975,0.993,0.975,0.976,
17.995,3.289,3.417,-0.876,0.978,0.995,0.977,0.978,
18.571,3.299,3.263,-0.883,0.986,1.004,0.985,0.986,
18.480,3.300,3.024,-0.898,1.005,1.023,1.003,1.005,
18.563,3.248,3.384,-0.911,1.022,1.041,1.021,1.022,
17.147,3.302,3.158,-0.915,1.027,1.045,1.026,1.026,
17.047,3.253,3.222,-0.916,1.029,1.047,1.028,1.027,
17.316,3.203,2.987,-0.918,1.031,1.049,1.030,1.029,
18.136,3.215,3.357,-0.926,1.041,1.059,1.040,1.041,
18.231,3.282,3.566,-0.949,1.062,1.080,1.060,1.061,
18.295,3.273,3.262,-0.956,1.074,1.092,1.071,1.072,
17.789,3.186,3.338,-0.961,1.081,1.099,1.078,1.079,
17.616,3.195,2.871,-0.966,1.086,1.104,1.083,1.083,
18.231,3.219,3.231,-0.979,1.102,1.120,1.097,1.097,
17.915,3.234,3.436,-0.992,1.116,1.135,1.111,1.113,
17.110,3.174,2.953,-0.994,1.119,1.138,1.114,1.116,
17.162,3.133,3.472,-0.996,1.121,1.141,1.116,1.119,
17.688,3.166,3.306,-1.006,1.134,1.152,1.128,1.130,
17.551,3.210,3.511,-1.019,1.149,1.168,1.142,1.144,
17.251,3.145,3.464,-1.024,1.154,1.173,1.147,1.150,
17.279,3.142,3.060,-1.026,1.158,1.177,1.150,1.154,
17.405,3.149,3.045,-1.039,1.172,1.190,1.163,1.166,
17.602,3.132,3.294,-1.057,1.192,1.212,1.182,1.187,
16.618,3.143,3.214,-1.067,1.205,1.223,1.194,1.198,
15.567,3.093,2.945,-1.068,1.206,1.225,1.194,1.200,
15.906,3.090,3.205,-1.067,1.207,1.225,1.194,1.201,
16.670,3.090,3.344,-1.071,1.210,1.229,1.198,1.203,
17.403,3.082,3.201,-1.084,1.227,1.247,1.215,1.220,
17.103,3.125,3.268,-1.103,1.249,1.268,1.238,1.242,
16.599,3.079,3.242,-1.110,1.257,1.277,1.246,1.250,
16.487,3.044,3.162,-1.113,1.259,1.280,1.247,1.253,
16.496,3.069,2.995,-1.116,1.266,1.286,1.254,1.260,
16.914,3.102,3.009,-1.131,1.285,1.305,1.272,1.277,
16.614,2.993,3.019,-1.143,1.299,1.319,1.285,1.289,
16.302,3.023,2.651,-1.145,1.302,1.323,1.288,1.294,
16.537,3.003,2.677,-1.152,1.310,1.331,1.296,1.301,
16.519,2.981,2.474,-1.165,1.324,1.347,1.309,1.315,
15.923,3.042,3.155,-1.171,1.332,1.354,1.316,1.323,
15.755,3.004,3.131,-1.173,1.334,1.356,1.318,1.324,
16.303,2.970,3.339,-1.176,1.341,1.363,1.325,1.332,
16.388,3.017,3.019,-1.191,1.357,1.380,1.340,1.348,
16.137,2.975,2.904,-1.200,1.369,1.391,1.352,1.359,
15.793,2.965,2.707,-1.204,1.373,1.396,1.356,1.365,
16.111,2.968,3.006,-1.213,1.381,1.405,1.364,1.371,
16.193,2.932,3.033,-1.222,1.394,1.418,1.376,1.385,
16.305,2.967,3.057,-1.235,1.411,1.435,1.392,1.402,
15.463,2.951,3.004,-1.241,1.419,1.443,1.400,1.409,
15.357,2.937,3.030,-1.242,1.420,1.444,1.401,1.410,
15.171,2.954,2.862,-1.245,1.423,1.447,1.404,1.413,
16.154,2.960,2.818,-1.255,1.437,1.461,1.418,1.427,
15.983,2.946,2.669,-1.272,1.456,1.480,1.435,1.445,
15.843,2.962,3.181,-1.278,1.463,1.487,1.442,1.452,
15.690,2.927,2.889,-1.287,1.472,1.496,1.450,1.461,
16.015,2.935,2.708,-1.294,1.482,1.507,1.460,1.470,
16.021,2.923,2.786,-1.306,1.496,1.520,1.473,1.483,
15.491,2.960,2.794,-1.317,1.506,1.530,1.484,1.493,
14.599,2.917,2.734,-1.317,1.507,1.532,1.485,1.494,
15.138,2.921,2.602,-1.320,1.510,1.534,1.487,1.499,
15.583,2.941,3.021,-1.331,1.523,1.548,1.501,1.512,
15.629,2.890,2.965,-1.346,1.542,1.567,1.519,1.528,
15.235,2.926,3.348,-1.351,1.549,1.574,1.524,1.536,
15.500,2.892,2.886,-1.357,1.557,1.581,1.531,1.542,
15.650,2.854,2.828,-1.367,1.568,1.593,1.542,1.555,
15.500,2.875,3.007,-1.381,1.585,1.609,1.557,1.570,
14.648,2.906,2.948,-1.390,1.594,1.618,1.566,1.580,
13.806,2.852,2.795,-1.390,1.594,1.618,1.566,1.579,
14.352,2.837,2.675,-1.391,1.595,1.619,1.566,1.581,
14.916,2.836,2.766,-1.396,1.601,1.626,1.573,1.586,
15.260,2.909,3.261,-1.412,1.621,1.646,1.592,1.606,
15.298,2.876,2.742,-1.426,1.639,1.663,1.607,1.623,
14.879,2.854,2.866,-1.433,1.648,1.672,1.616,1.632,
14.704,2.822,2.789,-1.438,1.655,1.680,1.624,1.638,
14.873,2.825,3.234,-1.451,1.668,1.692,1.636,1.651,
