Data:  2015/11/24
Czas:  1:58:37


liczba pomiarow=1882
czas probkowania=1.00
 cisn  , sila  , sila  , przem , przem , przem , przem , przem ,
7.405,1.836,1.797,-0.004,-0.000,0.003,0.000,-0.000,
7.315,1.849,1.815,-0.004,-0.000,0.003,0.000,-0.000,
7.494,1.854,1.823,-0.004,-0.000,0.003,0.000,0.000,
7.461,1.871,1.847,-0.004,-0.000,0.003,0.000,-0.000,
7.201,1.870,1.847,-0.004,-0.000,0.003,0.000,-0.000,
6.854,1.857,1.844,-0.004,-0.000,0.003,0.000,-0.000,
6.826,1.854,1.797,-0.004,-0.000,0.003,0.000,-0.000,
6.711,1.848,1.828,-0.004,-0.000,0.003,0.000,-0.000,
7.016,1.856,1.823,-0.004,-0.000,0.003,0.000,0.000,
7.179,1.856,1.832,-0.004,-0.000,0.003,0.000,0.000,
7.284,1.855,1.837,-0.004,-0.000,0.003,0.000,-0.000,
7.337,1.854,1.841,-0.004,-0.000,0.003,0.000,-0.000,
7.281,1.858,1.826,-0.004,-0.000,0.003,0.000,-0.001,
7.745,1.882,1.878,-0.004,-0.000,0.003,0.000,-0.000,
8.520,1.965,1.946,-0.005,-0.000,0.003,0.000,-0.000,
8.700,1.994,1.972,-0.005,-0.000,0.003,0.000,-0.001,
8.694,2.007,2.025,-0.005,-0.000,0.003,0.000,-0.000,
8.805,2.019,2.010,-0.005,-0.000,0.003,0.000,-0.000,
8.612,2.023,1.977,-0.005,-0.000,0.003,0.000,-0.000,
8.513,2.019,2.001,-0.005,-0.000,0.003,0.000,-0.000,
8.535,2.014,1.971,-0.005,-0.000,0.003,0.000,-0.000,
8.745,2.019,2.014,-0.005,-0.000,0.003,0.000,-0.000,
9.110,2.042,2.022,-0.005,-0.000,0.003,0.000,-0.000,
10.029,2.133,2.121,-0.005,-0.000,0.003,0.000,-0.000,
10.640,2.214,2.195,-0.006,-0.000,0.003,0.000,-0.000,
10.933,2.277,2.252,-0.006,-0.000,0.003,0.000,-0.000,
10.358,2.265,2.239,-0.006,-0.000,0.003,0.000,-0.000,
10.714,2.263,2.218,-0.006,-0.000,0.003,0.000,-0.000,
11.616,2.339,2.321,-0.006,-0.000,0.003,0.000,-0.000,
12.258,2.433,2.371,-0.007,-0.000,0.003,0.000,-0.000,
11.838,2.424,2.411,-0.007,-0.000,0.003,0.000,-0.000,
12.187,2.431,2.415,-0.007,-0.000,0.003,0.000,-0.000,
12.981,2.521,2.496,-0.007,-0.000,0.003,0.000,-0.000,
